auc,train_balance,test_balance,n_test,model,fold,seed,shift
0.5614814814814815,0.4,0.25,60,baseline_xgb,9,7,-0.15000000000000002
0.5748148148148148,0.4,0.25,60,baseline_xgb,9,8,-0.15000000000000002
0.5674074074074074,0.4,0.25,60,baseline_xgb,9,9,-0.15000000000000002
0.0,0.3972727272727273,0.43333333333333335,30,transformer_finbert,10,0,0.03606060606060607
0.4909502262443439,0.3972727272727273,0.43333333333333335,60,baseline_xgb,10,0,0.03606060606060607
0.07692307692307693,0.3972727272727273,0.43333333333333335,30,transformer_finbert,10,1,0.03606060606060607
0.4377828054298643,0.3972727272727273,0.43333333333333335,60,baseline_xgb,10,1,0.03606060606060607
0.22115384615384615,0.3972727272727273,0.43333333333333335,30,transformer_finbert,10,2,0.03606060606060607
0.4807692307692307,0.3972727272727273,0.43333333333333335,60,baseline_xgb,10,2,0.03606060606060607
0.15384615384615385,0.3972727272727273,0.43333333333333335,30,transformer_finbert,10,3,0.03606060606060607
0.44796380090497734,0.3972727272727273,0.43333333333333335,60,baseline_xgb,10,3,0.03606060606060607
1.0,0.3972727272727273,0.43333333333333335,30,transformer_finbert,10,4,0.03606060606060607
0.4954751131221719,0.3972727272727273,0.43333333333333335,60,baseline_xgb,10,4,0.03606060606060607
0.13461538461538464,0.3972727272727273,0.43333333333333335,30,transformer_finbert,10,5,0.03606060606060607
0.5520361990950227,0.3972727272727273,0.43333333333333335,60,baseline_xgb,10,5,0.03606060606060607
0.2403846153846154,0.3972727272727273,0.43333333333333335,30,transformer_finbert,10,6,0.03606060606060607
0.4762443438914027,0.3972727272727273,0.43333333333333335,60,baseline_xgb,10,6,0.03606060606060607
0.0,0.3972727272727273,0.43333333333333335,30,transformer_finbert,10,7,0.03606060606060607
0.5407239819004525,0.3972727272727273,0.43333333333333335,60,baseline_xgb,10,7,0.03606060606060607
0.17307692307692307,0.3972727272727273,0.43333333333333335,30,transformer_finbert,10,8,0.03606060606060607
0.5271493212669683,0.3972727272727273,0.43333333333333335,60,baseline_xgb,10,8,0.03606060606060607
0.07692307692307693,0.3972727272727273,0.43333333333333335,30,transformer_finbert,10,9,0.03606060606060607
0.4751131221719457,0.3972727272727273,0.43333333333333335,60,baseline_xgb,10,9,0.03606060606060607
0.42857142857142855,0.3896551724137931,0.55,30,transformer_finbert,11,0,0.16034482758620694
0.4983164983164983,0.3896551724137931,0.55,60,baseline_xgb,11,0,0.16034482758620694
0.7950310559006211,0.3896551724137931,0.55,30,transformer_finbert,11,1,0.16034482758620694
0.5903479236812571,0.3896551724137931,0.55,60,baseline_xgb,11,1,0.16034482758620694
0.4285714285714286,0.3896551724137931,0.55,30,transformer_finbert,11,2,0.16034482758620694
0.4983164983164983,0.3896551724137931,0.55,60,baseline_xgb,11,2,0.16034482758620694
0.6211180124223602,0.3896551724137931,0.55,30,transformer_finbert,11,3,0.16034482758620694
0.5297418630751964,0.3896551724137931,0.55,60,baseline_xgb,11,3,0.16034482758620694
0.577639751552795,0.3896551724137931,0.55,30,transformer_finbert,11,4,0.16034482758620694
0.5151515151515151,0.3896551724137931,0.55,60,baseline_xgb,11,4,0.16034482758620694
0.19254658385093168,0.3896551724137931,0.55,30,transformer_finbert,11,5,0.16034482758620694
0.5196408529741863,0.3896551724137931,0.55,60,baseline_xgb,11,5,0.16034482758620694
0.17391304347826084,0.3896551724137931,0.55,30,transformer_finbert,11,6,0.16034482758620694
0.54320987654321,0.3896551724137931,0.55,60,baseline_xgb,11,6,0.16034482758620694
0.20496894409937888,0.3896551724137931,0.55,30,transformer_finbert,11,7,0.16034482758620694
0.5555555555555556,0.3896551724137931,0.55,60,baseline_xgb,11,7,0.16034482758620694
0.3478260869565218,0.3896551724137931,0.55,30,transformer_finbert,11,8,0.16034482758620694
0.5230078563411897,0.3896551724137931,0.55,60,baseline_xgb,11,8,0.16034482758620694
0.40993788819875776,0.3896551724137931,0.55,30,transformer_finbert,11,9,0.16034482758620694
0.5207631874298542,0.3896551724137931,0.55,60,baseline_xgb,11,9,0.16034482758620694
0.2631578947368421,0.3918032786885246,0.7666666666666667,30,transformer_finbert,12,0,0.3748633879781421
0.2919254658385093,0.3918032786885246,0.7666666666666667,60,baseline_xgb,12,0,0.3748633879781421
0.4401913875598086,0.3918032786885246,0.7666666666666667,30,transformer_finbert,12,1,0.3748633879781421
0.3338509316770186,0.3918032786885246,0.7666666666666667,60,baseline_xgb,12,1,0.3748633879781421
0.33492822966507174,0.3918032786885246,0.7666666666666667,30,transformer_finbert,12,2,0.3748633879781421
0.3198757763975155,0.3918032786885246,0.7666666666666667,60,baseline_xgb,12,2,0.3748633879781421
0.36842105263157887,0.3918032786885246,0.7666666666666667,30,transformer_finbert,12,3,0.3748633879781421
0.3059006211180124,0.3918032786885246,0.7666666666666667,60,baseline_xgb,12,3,0.3748633879781421
