auc,prec_down,recall_down,prec_up,recall_up,n_down_calls,n_test,ticker,model,seed
0.20544935179081522,0.26973684210526316,1.0,0.0,0.0,152,152,ITUB4,transformer_finbert,18
0.6952169076751947,0.32222222222222224,1.0,1.0,0.016129032258064516,180,182,ITUB4,baseline_xgb,18
0.84399033179521,0.26973684210526316,1.0,0.0,0.0,152,152,ITUB4,transformer_finbert,19
0.6630978865406006,0.32222222222222224,1.0,1.0,0.016129032258064516,180,182,ITUB4,baseline_xgb,19
0.3115899825276645,0.3355263157894737,1.0,0.0,0.0,152,152,PETR4,transformer_finbert,0
0.5846938775510204,0.4326923076923077,0.6428571428571429,0.6794871794871795,0.4732142857142857,104,182,PETR4,baseline_xgb,0
0.4408852649970879,0.36363636363636365,0.8627450980392157,0.7741935483870968,0.2376237623762376,121,152,PETR4,transformer_finbert,1
0.5979591836734693,0.4351851851851852,0.6714285714285714,0.6891891891891891,0.45535714285714285,108,182,PETR4,baseline_xgb,1
0.333915744515628,0.336283185840708,0.7450980392156863,0.6666666666666666,0.25742574257425743,113,152,PETR4,transformer_finbert,2
0.5834183673469387,0.4095238095238095,0.6142857142857143,0.6493506493506493,0.44642857142857145,105,182,PETR4,baseline_xgb,2
0.30634828188701224,0.3050847457627119,0.7058823529411765,0.5588235294117647,0.18811881188118812,118,152,PETR4,transformer_finbert,3
0.5761479591836736,0.4,0.5714285714285714,0.6341463414634146,0.4642857142857143,100,182,PETR4,baseline_xgb,3
0.4065230052417007,0.28,0.5490196078431373,0.5576923076923077,0.2871287128712871,100,152,PETR4,transformer_finbert,4
0.5978316326530613,0.4368932038834951,0.6428571428571429,0.6835443037974683,0.48214285714285715,103,182,PETR4,baseline_xgb,4
0.3810910502814987,0.3225806451612903,0.5882352941176471,0.6440677966101694,0.37623762376237624,93,152,PETR4,transformer_finbert,5
0.5931122448979592,0.4339622641509434,0.6571428571428571,0.6842105263157895,0.4642857142857143,106,182,PETR4,baseline_xgb,5
0.36167734420500874,0.3225806451612903,0.7843137254901961,0.6071428571428571,0.16831683168316833,124,152,PETR4,transformer_finbert,6
0.5832908163265306,0.4215686274509804,0.6142857142857143,0.6625,0.4732142857142857,102,182,PETR4,baseline_xgb,6
0.32906231799650554,0.3090909090909091,0.6666666666666666,0.5952380952380952,0.24752475247524752,110,152,PETR4,transformer_finbert,7
0.5892857142857143,0.43137254901960786,0.6285714285714286,0.675,0.48214285714285715,102,182,PETR4,baseline_xgb,7
0.46787031644340904,0.3425925925925926,0.7254901960784313,0.6818181818181818,0.297029702970297,108,152,PETR4,transformer_finbert,8
0.5830357142857142,0.43564356435643564,0.6285714285714286,0.6790123456790124,0.49107142857142855,101,182,PETR4,baseline_xgb,8
0.39875752281110466,0.3142857142857143,0.6470588235294118,0.6170212765957447,0.2871287128712871,105,152,PETR4,transformer_finbert,9
